"","Observador","Decada","Sexo","Conocimiento","CirculaSinCoche","Frecuencia","DeAcuerdo","ConQFrecuencia","nuevoDecada"
"243","EO","90s","Hombre","Si","A pie","diario",3,"de vez en cuando","90s"
"244","EO","90s","Hombre","Si","A pie","semanal",3,"mensual","90s"
"245","EO","90s","Hombre","Si","A pie","mensual",3,"mensual","90s"
"246","JR","80s","Mujer","Si","A pie","diario",5,"nunca","80s"
"247","JR","80s","Mujer","Si","A pie","diario",5,"de vez en cuando","80s"
"248","JR","70s","Hombre","Si","A pie","semanal",1,"semanal","70s"
"249","JR","70s","Mujer","Si","A pie","semanal",5,"semanal","70s"
"250","JR","70s","Mujer","Si","A pie","semanal",3,"mensual","70s"
"251","JR","90s","Mujer","Si","","",5,"mensual","90s"
"252","JA","60s","Hombre","Si","A pie","diario",3,"nunca","60s"
"253","JA","60s","Hombre","Si","A pie","diario",5,"semanal","60s"
"254","JA","60s","Hombre","Si","A pie","diario",1,"nunca","60s"
"255","JA","60s","Hombre","Si","A pie","diario",1,"nunca","60s"
"256","JA","70s","Hombre","Si","A pie","diario",4,"nunca","70s"
"257","JA","80s","Mujer","Si","A pie","diario",4,"de vez en cuando","80s"
"258","JA","80s","Hombre","Si","A pie","diario",4,"nunca","80s"
"259","JA","90s","Hombre","Si","A pie","diario",3,"de vez en cuando","90s"
"260","JA","90s","Mujer","Si","A pie","diario",3,"de vez en cuando","90s"
"261","JA","90s","Hombre","Si","A pie","diario",4,"semanal","90s"
"262","JA","90s","Mujer","Si","Bus","diario",5,"semanal","90s"
"263","JA","90s","Hombre","Si","A pie","diario",5,"de vez en cuando","90s"
"264","JA","90s","Mujer","Si","Bus","diario",4,"de vez en cuando","90s"
"265","JA","90s","Mujer","Si","A pie","diario",4,"nunca","90s"
"266","JA","90s","Mujer","Si","A pie","diario",4,"de vez en cuando","90s"
"267","JA","90s","Mujer","Si","A pie","semanal",5,"mensual","90s"
"268","JA","90s","Hombre","Si","A pie","semanal",5,"semanal","90s"
"269","JQ","60s","Hombre","Si","A pie","diario",4,"mensual","60s"
"270","JQ","80s","Mujer","Si","A pie","diario",5,"semanal","80s"
"271","JQ","80s","Hombre","Si","A pie","diario",4,"mensual","80s"
"272","JQ","90s","Hombre","Si","A pie","diario",4,"de vez en cuando","90s"
"273","JQ","60s","Mujer","Si","A pie","semanal",5,"de vez en cuando","60s"
"274","JQ","70s","Mujer","Si","A pie","semanal",5,"semanal","70s"
"275","JQ","90s","Mujer","Si","Bicicleta ","semanal",5,"semanal","90s"
"276","JL","60s","Mujer","Si","A pie","diario",5,"semanal","60s"
"277","JL","80s","Hombre","Si","A pie","diario",5,"de vez en cuando","80s"
"278","JL","90s","Mujer","Si","A pie","diario",5,"semanal","90s"
"279","JL","90s","Hombre","Si","A pie","diario",5,"mensual","90s"
"280","JL","90s","Mujer","Si","Otro VehÍculo","diario",5,"mensual","90s"
"281","JL","90s","Mujer","Si","Bicicleta y a pie","diario",4,"de vez en cuando","90s"
"282","JL","90s","Hombre","Si","A pie","diario",4,"de vez en cuando","90s"
"283","JL","90s","Hombre","Si","A pie","semanal",5,"mensual","90s"
"284","JL","80s","Mujer","Si","A pie","de vez en cuando",1,"nunca","80s"
"285","JC","80s","Mujer","Si","A pie","diario",3,"de vez en cuando","80s"
"286","JC","90s","Mujer","Si","A pie","diario",2,"semanal","90s"
"287","JC","90s","Hombre","Si","A pie","diario",3,"de vez en cuando","90s"
"288","JC","90s","Mujer","Si","A pie","semanal",5,"de vez en cuando","90s"
"289","LC","70s","Hombre","Si","Bicicleta ","semanal",5,"mensual","70s"
"290","PC","60s","Mujer","Si","A pie","diario",5,"mensual","60s"
"291","PC","90s","Mujer","Si","A pie","diario",5,"mensual","90s"
"292","PC","50s","Mujer","Si","A pie","semanal",5,"mensual","50s"
"293","PC","60s","Hombre","Si","A pie","semanal",5,"de vez en cuando","60s"
"294","AC","70s","Mujer","Si","A pie","semanal",4,"mensual","70s"
"295","DC","80s","Hombre","Si","A pie","diario",4,"semanal","80s"
"296","DC","80s","Hombre","Si","A pie","diario",5,"de vez en cuando","80s"
"297","DC","90s","Mujer","Si","A pie","diario",5,"semanal","90s"
