Observador,Decada,Sexo,ConoceCiclovia,ComoConoce,ConoceZP,AsistCiclovia,ComoParticip,ConQuien,CirculaSinCoche,Frecuencia,DeAcuerdo,ConQFrecuencia,Horario
JA,90s,Mujer,Si,Prensa ,No,No,,,A pie,diario,4,nunca,mañana
JA,90s,Mujer,Si,Redes Sociales,No,No,,,A pie,diario,4,de vez en cuando,mañana
JA,90s,Mujer,Si,Gente,No,No,,,A pie,semanal,5,mensual,mañana
JA,90s,Hombre,Si,Redes Sociales,No,No,,,A pie,semanal,5,semanal,mañana
JQ,60s,Hombre,Si,Municipio,No,No,,,A pie,diario,4,mensual,mañana
JQ,80s,Mujer,Si,Prensa ,No,No,,,A pie,diario,5,semanal,mañana
JQ,80s,Hombre,Si,Municipio,Si,No,,,A pie,diario,4,mensual,tarde
JQ,90s,Hombre,Si,Prensa ,No,No,,,A pie,diario,4,de vez en cuando,tarde
JQ,60s,Mujer,Si,Prensa ,No,No,,,A pie,semanal,5,de vez en cuando,tarde
JQ,70s,Mujer,Si,Prensa ,No,No,,,A pie,semanal,5,semanal,mañana
JQ,90s,Mujer,Si,Redes Sociales,No,No,,,Bicicleta ,semanal,5,semanal,mañana
JL,60s,Mujer,Si,Prensa ,Si,No,,,A pie,diario,5,semanal,mañana
JL,80s,Hombre,Si,Participante,Si,No,,,A pie,diario,5,de vez en cuando,mañana
JL,90s,Mujer,Si,Redes Sociales,Si,No,,,A pie,diario,5,semanal,mañana
JL,90s,Hombre,Si,Prensa ,Si,No,,,A pie,diario,5,mensual,tarde
JL,90s,Mujer,Si,Redes Sociales,Si,No,,,Otro Veh’culo,diario,5,mensual,mañana
JL,90s,Mujer,Si,Participante,No,No,,,Bicicleta y a pie,diario,4,de vez en cuando,noche
JL,90s,Hombre,Si,Prensa ,Si,No,Bicicleta,Amigos,A pie,diario,4,de vez en cuando,mañana
JL,90s,Hombre,Si,Otro: Medio,Si,No,,,A pie,semanal,5,mensual,tarde
JL,80s,Mujer,Si,Redes Sociales,No,No,,,A pie,de vez en cuando,1,nunca,mañana
JC,80s,Mujer,Si,Prensa ,No,No,,,A pie,diario,3,de vez en cuando,tarde
JC,90s,Mujer,Si,Municipio,No,No,,,A pie,diario,2,semanal,mañana
JC,90s,Hombre,Si,Redes Sociales,No,No,,,A pie,diario,3,de vez en cuando,noche
JC,90s,Mujer,Si,Redes Sociales,Si,No,,,A pie,semanal,5,de vez en cuando,mañana
LC,70s,Hombre,Si,Redes Sociales,Si,No,No,No,Bicicleta ,semanal,5,mensual,tarde
PC,60s,Mujer,Si,Television,Si,No,,,A pie,diario,5,mensual,mañana
PC,90s,Mujer,Si,Redes Sociales,Si,No,,,A pie,diario,5,mensual,tarde
PC,50s,Mujer,Si,Prensa ,Si,No,,,A pie,semanal,5,mensual,tarde
PC,60s,Hombre,Si,Television,Si,No,,,A pie,semanal,5,de vez en cuando,mañana
AC,70s,Mujer,Si,Prensa ,No,Si,Bicicleta,Amigos,A pie,semanal,4,mensual,tarde
DC,80s,Hombre,Si,Prensa ,No,Si,Bicicleta,Amigos,A pie,diario,4,semanal,mañana
DC,80s,Hombre,Si,Prensa ,Si,Si,A pie,solo,A pie,diario,5,de vez en cuando,mañana
DC,90s,Mujer,Si,Prensa ,Si,Si,"A pie, Patines",Amigos,A pie,diario,5,semanal,mañana
